animal,zero_crossings,spectral_centroids,spectral_rolloff,mfccs
cat,19103,740171.4098413998,1535855.712890625,483
cat,19760,772364.2053051837,1602500.9765625,517
cat,19539,740991.1650777691,1544156.7626953125,504
cat,3460,118725.83296036946,229457.8125,70
cat,22162,938445.2648373133,2033326.5380859375,517
cat,13921,716848.8087859885,1703696.2646484375,496
cat,13183,726854.2049176579,1830451.46484375,513
cat,5511,167996.59602541287,351831.005859375,65
cat,2756,84938.09390993163,137823.2666015625,43
cat,35789,1046965.6917712704,1801284.7412109375,405
cat,13187,601112.9108481003,1291593.8232421875,517
cat,13108,574824.6797303213,1244349.9755859375,483
cat,14321,582719.8467313913,1238998.974609375,474
cat,50366,1397672.918071378,2265303.7353515625,501
cat,5416,191896.1163322121,395392.67578125,127
cat,2706,124448.45290807291,200204.9560546875,302
cat,4884,106074.27969947437,147674.70703125,66
cat,3261,79787.8149689198,117808.154296875,57
cat,3586,110033.60347711292,208656.73828125,55
cat,1254,65163.28935034517,112414.0869140625,76
cat,17805,712281.9859469454,1373150.830078125,509
cat,16183,646476.6625062649,1282119.2138671875,444
cat,15318,638717.4543560399,1265118.75,453
cat,3651,123083.81880219535,209108.935546875,138
cat,13325,673592.3379330079,1493941.3330078125,504
cat,4957,267271.7341736755,605653.6376953125,203
cat,3456,156342.3991579819,344628.1494140625,104
cat,23196,774208.0201377595,1457388.720703125,517
cat,25018,788828.7152258783,1435618.65234375,517
cat,24909,800154.2339030954,1450013.5986328125,517
cat,39657,1143683.7498453213,2055850.2685546875,568
cat,4940,139933.23525554943,279673.2421875,110
cat,15221,405180.78487776255,675141.2841796875,181
cat,14322,467818.2902854646,813621.3134765625,377
cat,17375,677482.7734954936,1318984.0576171875,474
cat,14652,648322.9814940129,1261318.1396484375,517
cat,9062,506129.88480581285,960650.0244140625,517
cat,5694,288759.6386159264,593132.080078125,278
cat,17033,772206.5919215241,1673894.3115234375,466
cat,21257,880365.5181459713,1818306.73828125,517
cat,24818,879561.821791297,1698937.4267578125,470
cat,14760,696777.0416056742,1655741.8212890625,517
cat,13232,691273.3145266777,1688913.720703125,517
cat,11414,633962.2580500317,1529718.75,517
cat,46677,1474508.7522351844,2910384.66796875,747
cat,32819,855462.1446118896,1302306.591796875,500
cat,29458,774730.4576293628,1224733.2275390625,517
cat,27970,727732.6735658079,1160618.115234375,509
cat,24073,750948.0855716695,1488719.53125,517
cat,30287,918028.6680719587,1856582.0068359375,513
cat,35000,1081738.3940400763,2240475.9521484375,517
cat,6620,165278.563730892,255351.4892578125,111
cat,2984,111363.5531470282,172093.359375,52
cat,3192,110174.78373204655,170510.6689453125,47
cat,2832,90334.3328073249,140848.681640625,40
cat,3832,115624.7649894687,184550.3173828125,50
cat,37105,1106776.5512219754,2067790.4296875,517
cat,40444,1167495.289265971,2173550.7568359375,517
cat,42701,1186700.9230137994,2193748.9013671875,517
cat,6816,333512.6040013285,534238.76953125,584
cat,21013,744021.3218766642,1564182.6416015625,418
cat,22118,847097.370539363,1763655.46875,517
cat,18352,739622.3073871473,1508766.943359375,517
cat,49779,1313599.6036062024,2435975.9033203125,504
cat,40172,1058188.008109521,2009187.8173828125,410
cat,10319,286476.6070503749,533818.8720703125,123
cat,2895,58311.39022595653,87650.9033203125,43
cat,4132,102781.6558954317,142334.47265625,102
cat,14606,915499.575782233,1992564.1845703125,762
cat,1726,81493.21635814612,178714.8193359375,57
cat,15057,640039.3813156397,1345749.8291015625,366
cat,20399,861478.8418248888,1927426.2451171875,513
cat,19713,863813.4584781672,1979224.365234375,517
cat,10932,462674.01160784886,1068789.7705078125,268
cat,10877,250191.40667516587,351195.7763671875,136
cat,1018,68575.00988630365,121942.529296875,84
cat,3283,147313.37300344973,245995.3125,132
cat,24583,1082102.8996320092,2196548.2177734375,646
cat,50225,1360943.0313562043,2460932.8857421875,577
cat,27569,790852.2934603499,1369048.7548828125,513
cat,23853,728495.2787670091,1300185.5712890625,517
cat,24272,748062.3357485085,1340151.1962890625,517
cat,5246,175418.39246205636,335250.439453125,86
cat,36939,851329.0371156296,1304901.3427734375,393
cat,3174,98155.38803955905,156740.185546875,47
cat,4530,149634.42350510275,250495.751953125,77
cat,41142,1090386.79873231,2198863.037109375,418
cat,46593,1249160.520176233,2586923.6572265625,504
cat,38835,1081580.4956794258,2300305.95703125,466
cat,20176,792381.7903306754,1677964.0869140625,527
cat,5414,151848.51094086093,276777.0263671875,51
cat,3560,97732.60144156296,166645.458984375,49
cat,6754,197575.06875934315,409626.123046875,78
cat,25739,978534.450163727,2267187.890625,513
cat,22855,939899.3398801525,2259640.5029296875,517
